state	tree1	tree2	MatchingSplit
1008	10	73	3.0
1009	10	74	3.0
1010	10	75	0.0
1011	10	76	0.0
1012	10	77	0.0
1013	10	78	0.0
1014	10	79	0.0
1015	10	80	6.0
1016	10	81	0.0
1017	10	82	3.0
1018	10	83	3.0
1019	10	84	0.0
1020	10	85	0.0
1021	10	86	0.0
1022	10	87	0.0
1023	10	88	3.0
1024	10	89	0.0
1025	10	90	0.0
1026	10	91	0.0
1027	10	92	0.0
1028	10	93	0.0
1029	10	94	0.0
1030	10	95	0.0
1031	10	96	0.0
1032	10	97	3.0
1033	10	98	6.0
1034	10	99	6.0
1035	11	12	0.0
1036	11	13	5.0
1037	11	14	6.0
1038	11	15	0.0
1039	11	16	5.0
1040	11	17	0.0
1041	11	18	3.0
1042	11	19	12.0
1043	11	20	12.0
1044	11	21	8.0
1045	11	22	8.0
1046	11	23	3.0
1047	11	24	8.0
1048	11	25	6.0
1049	11	26	8.0
1050	11	27	6.0
1051	11	28	8.0
1052	11	29	6.0
1053	11	30	6.0
1054	11	31	6.0
1055	11	32	6.0
1056	11	33	6.0
1057	11	34	6.0
1058	11	35	0.0
1059	11	36	0.0
1060	11	37	6.0
1061	11	38	8.0
1062	11	39	3.0
1063	11	40	10.0
1064	11	41	3.0
1065	11	42	3.0
1066	11	43	3.0
1067	11	44	9.0
1068	11	45	9.0
1069	11	46	9.0
1070	11	47	6.0
1071	11	48	6.0
1072	11	49	9.0
1073	11	50	6.0
1074	11	51	6.0
1075	11	52	3.0
1076	11	53	6.0
1077	11	54	8.0
1078	11	55	8.0
1079	11	56	6.0
1080	11	57	6.0
1081	11	58	6.0
1082	11	59	6.0
1083	11	60	6.0
1084	11	61	6.0
1085	11	62	6.0
1086	11	63	9.0
1087	11	64	6.0
1088	11	65	3.0
1089	11	66	6.0
1090	11	67	6.0
1091	11	68	6.0
1092	11	69	6.0
1093	11	70	6.0
1094	11	71	3.0
1095	11	72	6.0
1096	11	73	3.0
1097	11	74	3.0
1098	11	75	6.0
1099	11	76	6.0
1100	11	77	6.0
1101	11	78	6.0
1102	11	79	6.0
1103	11	80	9.0
1104	11	81	6.0
1105	11	82	3.0
1106	11	83	3.0
1107	11	84	6.0
1108	11	85	6.0
1109	11	86	6.0
1110	11	87	6.0
1111	11	88	3.0
1112	11	89	6.0
1113	11	90	6.0
1114	11	91	6.0
1115	11	92	6.0
1116	11	93	6.0
1117	11	94	6.0
1118	11	95	6.0
1119	11	96	6.0
1120	11	97	3.0
1121	11	98	0.0
1122	11	99	0.0
1123	12	13	5.0
1124	12	14	6.0
1125	12	15	0.0
1126	12	16	5.0
1127	12	17	0.0
1128	12	18	3.0
