Bootstrap rep 1 (of 100) 
random seed = 114550
gen	best_like	time	optPrecision
5600	-1310.947551	8	0.01
5610	-1310.947551	8	0.01
5620	-1310.947551	8	0.01
5630	-1310.947536	8	0.01
5640	-1310.947536	8	0.01
5650	-1310.947536	8	0.01
5660	-1310.947536	8	0.01
5670	-1310.947536	8	0.01
5680	-1310.947536	8	0.01
5690	-1310.947536	8	0.01
5700	-1310.947536	8	0.01
5710	-1310.947536	8	0.01
5720	-1310.947536	8	0.01
5730	-1310.947536	8	0.01
5740	-1310.947536	8	0.01
5750	-1310.947536	8	0.01
5760	-1310.947536	8	0.01
5770	-1310.947536	8	0.01
5780	-1310.947536	8	0.01
5790	-1310.947536	8	0.01
5800	-1310.947242	8	0.01
5810	-1310.947242	8	0.01
5820	-1310.947242	8	0.01
5830	-1310.947242	8	0.01
5840	-1310.947242	8	0.01
5850	-1310.947242	8	0.01
5860	-1310.947242	8	0.01
5870	-1310.947242	8	0.01
5880	-1310.947242	8	0.01
5890	-1310.947242	8	0.01
5900	-1310.947242	8	0.01
5910	-1310.947242	8	0.01
5920	-1310.947242	8	0.01
5930	-1310.947242	8	0.01
5940	-1310.947242	8	0.01
5950	-1310.947242	8	0.01
5960	-1310.947242	8	0.01
5970	-1310.947242	8	0.01
5980	-1310.947242	8	0.01
5990	-1310.947242	8	0.01
6000	-1310.947242	8	0.01
6010	-1310.947242	8	0.01
6020	-1310.947242	8	0.01
6030	-1310.947242	8	0.01
6040	-1310.947242	8	0.01
6050	-1310.947242	9	0.01
6060	-1310.947242	9	0.01
6070	-1310.947242	9	0.01
6080	-1310.947242	9	0.01
6090	-1310.947242	9	0.01
6100	-1310.947242	9	0.01
6110	-1310.947242	9	0.01
6120	-1310.947242	9	0.01
6130	-1310.947242	9	0.01
6140	-1310.947242	9	0.01
6150	-1310.947242	9	0.01
6160	-1310.947242	9	0.01
6170	-1310.947242	9	0.01
6180	-1310.947242	9	0.01
6190	-1310.947226	9	0.01
6200	-1310.947226	9	0.01
6210	-1310.947226	9	0.01
6220	-1310.947226	9	0.01
6230	-1310.947226	9	0.01
6240	-1310.947226	9	0.01
6250	-1310.947226	9	0.01
6260	-1310.947226	9	0.01
6270	-1310.947226	9	0.01
6280	-1310.947226	9	0.01
6290	-1310.947226	9	0.01
6300	-1310.947226	9	0.01
6310	-1310.947206	9	0.01
6320	-1310.947206	9	0.01
6330	-1310.947206	9	0.01
6340	-1310.947164	9	0.01
6350	-1310.947164	9	0.01
6360	-1310.947092	9	0.01
6370	-1310.947092	9	0.01
6380	-1310.947092	9	0.01
6390	-1310.947092	9	0.01
6400	-1310.947092	9	0.01
6410	-1310.947092	9	0.01
6420	-1310.947092	9	0.01
6430	-1310.947092	9	0.01
6440	-1310.947092	9	0.01
6450	-1310.947092	9	0.01
6460	-1310.947092	9	0.01
6470	-1310.947092	9	0.01
6480	-1310.947092	9	0.01
6490	-1310.947092	9	0.01
6500	-1310.947092	9	0.01
6510	-1310.947092	9	0.01
6520	-1310.947092	9	0.01
6530	-1310.947092	9	0.01
6540	-1310.947092	9	0.01
6550	-1310.947092	9	0.01
6560	-1310.947092	9	0.01
6570	-1310.947092	9	0.01
6580	-1310.947092	9	0.01
6590	-1310.947092	9	0.01
6600	-1310.947092	9	0.01
Score after final optimization: -1310.94341
Final	-1310.94341	9	0.01
Bootstrap rep 2 (of 100) 
random seed = 1391923033
gen	best_like	time	optPrecision
0	-1460.665706	9	0.5
